Code,Type,Payment
DIRR3,Div,2024-07-16
ROMI3,JCP,2024-07-17
CSRN3,JCP,2024-07-18
CSRN5,JCP,2024-07-18
CSRN6,JCP,2024-07-18
ARZZ3,Div,2024-07-22
BEES3,JCP,2024-07-22
BEES4,JCP,2024-07-22
TIMS3,Div,2024-07-23
TIMS3,JCP,2024-07-23
REDE3,Div,2024-07-24
ARML3,Div,2024-07-25
ARML3,JCP,2024-07-25
CEGR3,Div,2024-07-25
CEGR3,Div,2024-07-25
CEGR3,JCP,2024-07-25
EGIE3,Div,2024-07-26
EGIE3,JCP,2024-07-26
ECOR3,Div,2024-07-29
IGTI11,Div,2024-07-30
IGTI3,Div,2024-07-30
IGTI4,Div,2024-07-30
ALLD3,JCP,2024-07-31
ODER4,JCP,2024-07-31
ODER4,JCP,2024-07-31
ODER4,JCP,2024-07-31
SMFT3,JCP,2024-07-31
TUPY3,JCP,2024-07-31
