Code,Type,Payment
ALUP11,Div,2024-07-08
ALUP3,Div,2024-07-08
ALUP4,Div,2024-07-08
AURA33,Div,2024-07-09
LREN3,JCP,2024-07-09
RDOR3,JCP,2024-07-09
BLAU3,JCP,2024-07-10
CURY3,Div,2024-07-10
JHSF3,Div,2024-07-10
KEPL3,Div,2024-07-10
TASA3,Div,2024-07-10
TASA4,Div,2024-07-10
CSUD3,JCP,2024-07-11
ABCB4,JCP,2024-07-12
ALOS3,Div,2024-07-15
MILS3,JCP,2024-07-15
PINE3,JCP,2024-07-15
PINE4,JCP,2024-07-15
DIRR3,Div,2024-07-16
ROMI3,JCP,2024-07-17
ARZZ3,Div,2024-07-22
BEES3,JCP,2024-07-22
BEES4,JCP,2024-07-22
TIMS3,Div,2024-07-23
TIMS3,JCP,2024-07-23
ARML3,Div,2024-07-25
ARML3,JCP,2024-07-25
CEGR3,Div,2024-07-25
CEGR3,Div,2024-07-25
CEGR3,JCP,2024-07-25
EGIE3,Div,2024-07-26
EGIE3,JCP,2024-07-26
ECOR3,Div,2024-07-29
IGTI11,Div,2024-07-30
IGTI3,Div,2024-07-30
IGTI4,Div,2024-07-30
ALLD3,JCP,2024-07-31
ODER4,JCP,2024-07-31
ODER4,JCP,2024-07-31
ODER4,JCP,2024-07-31
SMFT3,JCP,2024-07-31
TUPY3,JCP,2024-07-31
